stimuluswords,lvl,corrAns,testing_trials.thisRepN,testing_trials.thisTrialN,testing_trials.thisN,testing_trials.thisIndex,trials_Recogn.thisRepN,trials_Recogn.thisTrialN,trials_Recogn.thisN,trials_Recogn.thisIndex,ExHint.started,ExHint.stopped,Instr3_text.started,Instr3_text.stopped,TestHint.started,TestHint.stopped,TestKeyresp.keys,TestKeyresp.rt,Recogn_Ans.keys,Recogn_Ans.corr,Recogn_Ans.rt,participant,session,date,expName,psychopyVersion,frameRate,
лестница,semant,j,,,,,0,0,0,29,23.040312699973583,None,23.64220379991457,None,129.09640619996935,None,j,0.9132854000199586,f,0,1.4189580000238493,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
земля,filler,f,,,,,0,1,1,51,,,,,,,,,j,0,2.620894000050612,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
карман,filler,f,,,,,0,2,2,64,,,,,,,,,f,1,0.8160903999814764,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
школа,filler,f,,,,,0,3,3,73,,,,,,,,,f,1,1.0095693999901414,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
город,filler,f,,,,,0,4,4,60,,,,,,,,,f,1,0.9793296999996528,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
рассказ,sens,j,,,,,0,5,5,39,,,,,,,,,f,0,1.5855716000078246,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
женщина,filler,f,,,,,0,6,6,40,,,,,,,,,f,1,1.3093404000392184,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
звезда,semant,j,,,,,0,7,7,4,,,,,,,,,j,1,0.6021251999773085,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
деньги,semant,j,,,,,0,8,8,0,,,,,,,,,j,1,1.7529866999248043,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
яблоко,semant,j,,,,,0,9,9,9,,,,,,,,,j,1,0.6023994999704883,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
стихи,filler,f,,,,,0,10,10,48,,,,,,,,,f,1,1.5620960999513045,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
уровень,semant,j,,,,,0,11,11,2,,,,,,,,,j,1,0.8465946998912841,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
момент,sens,j,,,,,0,12,12,36,,,,,,,,,j,1,3.4767634000163525,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
контакт,filler,f,,,,,0,13,13,75,,,,,,,,,f,1,2.2259955999907106,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
кольцо,filler,f,,,,,0,14,14,63,,,,,,,,,f,1,2.319604599964805,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
печать,semant,j,,,,,0,15,15,23,,,,,,,,,j,1,0.8116061000619084,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
язык,sens,j,,,,,0,16,16,33,,,,,,,,,j,1,0.8618827000027522,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
действие,filler,f,,,,,0,17,17,53,,,,,,,,,f,1,0.7917100999038666,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
голова,filler,f,,,,,0,18,18,45,,,,,,,,,j,0,5.695337699959055,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
порядок,sens,j,,,,,0,19,19,16,,,,,,,,,f,0,3.4840160999447107,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
песня,semant,j,,,,,0,20,20,28,,,,,,,,,j,1,1.403869100031443,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
дочка,filler,f,,,,,0,21,21,58,,,,,,,,,j,0,1.0004042000509799,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
море,semant,j,,,,,0,22,22,8,,,,,,,,,j,1,0.7380695999599993,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
мама,filler,f,,,,,0,23,23,74,,,,,,,,,j,0,0.7523362999781966,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
прокурор,filler,f,,,,,0,24,24,55,,,,,,,,,f,1,1.0125007000751793,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
масштаб,sens,j,,,,,0,25,25,18,,,,,,,,,f,0,1.2395465000299737,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
форма,filler,f,,,,,0,26,26,54,,,,,,,,,f,1,0.7217896999791265,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
дача,filler,f,,,,,0,27,27,69,,,,,,,,,f,1,0.6215232000686228,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
металл,sens,j,,,,,0,28,28,35,,,,,,,,,j,1,0.7570070000365376,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
столик,filler,f,,,,,0,29,29,43,,,,,,,,,f,1,1.1595932999625802,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
сюжет,filler,f,,,,,0,30,30,66,,,,,,,,,j,0,1.8051919999998063,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
транспорт,semant,j,,,,,0,31,31,6,,,,,,,,,j,1,1.502811499987729,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
образ,semant,j,,,,,0,32,32,21,,,,,,,,,f,0,1.2198799999896437,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
закон,filler,f,,,,,0,33,33,71,,,,,,,,,f,1,3.013591199996881,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
нога,filler,f,,,,,0,34,34,61,,,,,,,,,f,1,0.7935921000316739,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
секунда,filler,f,,,,,0,35,35,47,,,,,,,,,f,1,1.2750988999614492,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
рынок,filler,f,,,,,0,36,36,76,,,,,,,,,f,1,1.2683456999948248,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
краска,semant,j,,,,,0,37,37,26,,,,,,,,,j,1,0.5393152999458835,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
лошадь,sens,j,,,,,0,38,38,19,,,,,,,,,f,0,1.4787316999863833,,001,2022_Mar_13_2309,Experiment_Memory,2021.2.3,None,
