stimuluswords,lvl,corrAns,testing_trials.thisRepN,testing_trials.thisTrialN,testing_trials.thisN,testing_trials.thisIndex,trials_Recogn.thisRepN,trials_Recogn.thisTrialN,trials_Recogn.thisN,trials_Recogn.thisIndex,Recogn_Ans.keys,Recogn_Ans.corr,Recogn_Ans.rt,participant,session,date,expName,psychopyVersion,frameRate,
школа,filler,f,,,,,0,0,0,73,j,0,1.389894500025548,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
молоко,sens,j,,,,,0,1,1,15,j,1,1.4252992999972776,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
сделка,filler,f,,,,,0,2,2,49,f,1,1.516067000105977,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
версия,sens,j,,,,,0,3,3,38,j,1,1.3173246999504045,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
контакт,filler,f,,,,,0,4,4,75,f,1,0.741550000035204,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
вода,sens,j,,,,,0,5,5,11,j,1,0.5724346999777481,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
режим,semant,j,,,,,0,6,6,27,j,1,0.8890498999971896,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
вечер,sens,j,,,,,0,7,7,14,j,1,1.0222245000768453,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
песня,semant,j,,,,,0,8,8,28,j,1,0.5689614999573678,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
ребенок,filler,f,,,,,0,9,9,65,f,1,0.8700056999223307,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
лошадь,sens,j,,,,,0,10,10,19,j,1,0.6357927999924868,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
порядок,sens,j,,,,,0,11,11,16,f,0,0.7966234000632539,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
голова,filler,f,,,,,0,12,12,45,f,1,0.9682761000003666,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
дядя,sens,j,,,,,0,13,13,37,f,0,1.8955256000626832,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
книга,filler,f,,,,,0,14,14,52,f,1,0.862963099963963,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
дача,filler,f,,,,,0,15,15,69,f,1,0.6079652999760583,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
город,filler,f,,,,,0,16,16,60,f,1,0.6364392000250518,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
яблоко,semant,j,,,,,0,17,17,9,j,1,0.6798969999654219,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
уровень,semant,j,,,,,0,18,18,2,j,1,0.8355287000304088,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
отец,sens,j,,,,,0,19,19,31,j,1,1.009690499980934,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
деньги,semant,j,,,,,0,20,20,0,f,0,1.1217889999970794,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
мама,filler,f,,,,,0,21,21,74,j,0,0.5497986000264063,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
поиск,filler,f,,,,,0,22,22,57,f,1,2.747934800107032,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
краска,semant,j,,,,,0,23,23,26,j,1,0.5793740999652073,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
право,semant,j,,,,,0,24,24,1,j,1,0.7607387999305502,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
сюжет,filler,f,,,,,0,25,25,66,j,0,1.6246662000194192,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
народ,filler,f,,,,,0,26,26,70,f,1,3.461747399996966,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
область,sens,j,,,,,0,27,27,30,j,1,1.593345700064674,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
машина,semant,j,,,,,0,28,28,20,j,1,0.8247776000062004,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
карман,filler,f,,,,,0,29,29,64,f,1,0.8411997000221163,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
число,filler,f,,,,,0,30,30,50,j,0,0.980303299962543,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
студент,sens,j,,,,,0,31,31,17,j,1,0.6347342999652028,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
лестница,semant,j,,,,,0,32,32,29,f,0,0.7058742999797687,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
голос,filler,f,,,,,0,33,33,41,j,0,0.6766453000018373,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
образ,semant,j,,,,,0,34,34,21,j,1,0.7290176999522373,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
сестра,semant,j,,,,,0,35,35,24,j,1,0.58548319991678,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
нога,filler,f,,,,,0,36,36,61,f,1,0.6371905000414699,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
закон,filler,f,,,,,0,37,37,71,f,1,0.772585800033994,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
стихи,filler,f,,,,,0,38,38,48,f,1,0.622924399911426,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
форма,filler,f,,,,,0,39,39,54,f,1,0.7030226000351831,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
десяток,filler,f,,,,,0,40,40,67,f,1,0.7127374999690801,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
масса,filler,f,,,,,0,41,41,44,f,1,0.5328063999768347,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
случай,semant,j,,,,,0,42,42,25,j,1,0.7811875999905169,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
секунда,filler,f,,,,,0,43,43,47,j,0,1.4207531999563798,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
качество,sens,j,,,,,0,44,44,34,j,1,0.6738658000249416,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
транспорт,semant,j,,,,,0,45,45,6,f,0,0.9274911000393331,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
язык,sens,j,,,,,0,46,46,33,j,1,0.6515805000672117,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
тысяча,sens,j,,,,,0,47,47,12,j,1,0.5693536999169737,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
море,semant,j,,,,,0,48,48,8,j,1,0.6074481999967247,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
имя,sens,j,,,,,0,49,49,32,j,1,0.4697419001022354,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
столик,filler,f,,,,,0,50,50,43,f,1,0.698155999998562,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
момент,sens,j,,,,,0,51,51,36,j,1,1.6253643999807537,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
вино,filler,f,,,,,0,52,52,59,f,1,0.7215969000244513,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
улица,filler,f,,,,,0,53,53,62,j,0,2.2228262000717223,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
кольцо,filler,f,,,,,0,54,54,63,f,1,1.0121184000745416,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
дочка,filler,f,,,,,0,55,55,58,f,1,2.341003799927421,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
статья,sens,j,,,,,0,56,56,10,j,1,0.6747203998966143,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
действие,filler,f,,,,,0,57,57,53,f,1,0.9513294000644237,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
начало,filler,f,,,,,0,58,58,42,j,0,0.9846628999803215,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
группа,filler,f,,,,,0,59,59,72,f,1,0.6883889999007806,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
рассказ,sens,j,,,,,0,60,60,39,j,1,0.8704888999927789,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
страна,semant,j,,,,,0,61,61,5,j,1,0.6970222999807447,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
танец,filler,f,,,,,0,62,62,78,f,1,0.651860999991186,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
село,filler,f,,,,,0,63,63,46,f,1,0.6698955999454483,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
земля,filler,f,,,,,0,64,64,51,j,0,0.6951040999265388,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
минута,semant,j,,,,,0,65,65,22,j,1,0.6626929000485688,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
диван,semant,j,,,,,0,66,66,3,j,1,0.8046420000027865,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
прокурор,filler,f,,,,,0,67,67,55,f,1,0.7032600999809802,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
рынок,filler,f,,,,,0,68,68,76,j,0,0.9185484000481665,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
комната,filler,f,,,,,0,69,69,56,f,1,1.084392199991271,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
масштаб,sens,j,,,,,0,70,70,18,j,1,0.703879400040023,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
учет,filler,f,,,,,0,71,71,77,f,1,0.745350299985148,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
процент,filler,f,,,,,0,72,72,68,f,1,0.6738455999875441,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
звезда,semant,j,,,,,0,73,73,4,j,1,1.196083900053054,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
объект,filler,f,,,,,0,74,74,79,j,0,0.5512629000004381,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
металл,sens,j,,,,,0,75,75,35,j,1,0.6478585000149906,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
женщина,filler,f,,,,,0,76,76,40,j,0,0.9095041999826208,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
месяц,sens,j,,,,,0,77,77,13,j,1,1.256591400015168,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
зима,semant,j,,,,,0,78,78,7,j,1,0.5737056999932975,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
печать,semant,j,,,,,0,79,79,23,f,0,0.6429931001039222,,001,2022_Mar_13_2319,Experiment_Memory,2021.2.3,60.20447851994347,
